Gaia DR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc
Gaia DR3 1241384331823317632,220.5957425,21.2929291,7.350,0.673,2.660,18.6985,14.6558,-13.18,-2.20,0.12,21.943,F7.1,nan,nan,0.987,nan,Gaia DR3
Gaia DR3 1263985102569989504,229.8126737,24.3270484,10.574,1.523,1.972,18.6636,14.9060,-16.65,-17.16,0.17,21.627,K5.3,nan,nan,1.030,nan,Gaia DR3
Gaia DR3 1246505032351703808,209.5560993,19.2865038,8.976,1.206,4.868,21.5845,15.4918,-8.66,-10.40,0.28,26.335,K3.0,nan,nan,13.259,nan,Gaia DR3
Gaia DR3 1370571450529693952,234.4452925,33.1002100,14.265,2.770,0.565,15.2279,15.5184,-18.27,-17.89,2.45,19.438,M3.6,nan,nan,1.191,nan,Gaia DR3
Gaia DR3 1446969916473264384,199.5651567,24.6550396,12.803,2.451,4.897,21.2857,15.5878,-5.32,-7.56,1.61,23.601,M2.9,nan,nan,0.914,nan,Gaia DR3
Gaia DR3 1246438718056644224,209.7519728,19.0164870,15.243,3.310,2.732,21.7919,15.7073,-8.71,nan,nan,26.933,M4.9,nan,nan,1.129,nan,None
Gaia DR3 1515247836210515456,190.8058535,34.4650685,13.014,2.660,1.443,21.7673,15.7544,-3.42,-4.23,1.80,27.276,M3.4,nan,nan,1.140,nan,Gaia DR3
Gaia DR3 1506659653966670464,216.9579549,46.8050673,16.096,3.212,4.523,7.0217,15.9572,-13.02,nan,nan,17.605,M4.6,nan,nan,1.098,nan,None
Gaia DR3 1473443510771118464,202.0968323,35.7567661,14.137,3.052,1.606,12.7255,16.2911,-7.65,-14.88,1.93,36.274,M4.2,nan,nan,1.393,nan,Gaia DR3
Gaia DR3 1485151935217184256,211.7808726,37.8729979,11.857,1.911,1.488,4.7719,16.5181,-11.17,-19.35,0.27,17.240,M0.4,nan,nan,1.252,nan,Gaia DR3
Gaia DR3 1212738995903148544,227.2158276,19.0384709,8.071,0.986,3.391,22.4110,16.7132,-15.41,-24.17,0.13,29.363,K0.2,nan,nan,0.908,nan,Gaia DR3
Gaia DR3 1515813878541104128,193.0697069,33.9605836,15.903,3.800,3.671,20.2384,16.7442,-4.16,nan,nan,32.159,M5.8,nan,nan,1.056,nan,None
Gaia DR3 1473443510771118336,202.0978696,35.7565721,14.362,3.232,0.778,12.7248,16.8364,-7.65,-12.26,2.98,37.161,M4.7,nan,nan,25.051,nan,Gaia DR3
Gaia DR3 1236196767243508608,219.1188554,18.9763750,17.074,3.938,4.791,20.8672,16.8438,-12.40,nan,nan,21.283,M6.0,nan,nan,1.101,nan,None
Gaia DR3 1605975687445529472,221.2485637,53.1569603,12.321,2.136,3.645,13.6227,17.0308,-13.97,-16.36,1.15,18.286,M1.3,nan,nan,9.597,nan,Gaia DR3
Gaia DR3 1627009070005450624,235.5832943,59.6146063,17.050,--,3.737,22.8814,17.1427,-16.25,nan,nan,22.776,nan,nan,nan,1.025,nan,None
Gaia DR3 1610856453920291712,220.0432282,57.7132271,7.752,0.680,1.089,18.0044,17.1467,-13.44,-14.62,0.14,19.550,F7.4,nan,nan,1.370,nan,Gaia DR3
