Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr,rank_score
Gaia,DR3,5590731823670923136,109.2908058,-35.0972284,16.572,1.128,3.478,1.3805,12.4141,19.09,,,2.58,K2.2,,,0.967,,,-7.674,5.25,-6.09,0.063,6.285,0.076,0
Gaia,DR3,5592752962264873984,110.2752696,-32.4432294,19.836,2.318,3.922,1.4817,13.1422,19.31,,,2.7,M2.4,,,1.071,,,-8.235,4.909,-9.808,0.365,6.493,0.357,0
Gaia,DR3,5603553778518875136,107.8403894,-32.0972098,18.565,3.557,2.176,2.6736,23.3215,19.86,,,2.538,M5.4,,,0.999,,,-7.258,4.721,-8.261,0.139,5.312,0.151,0
Gaia,DR3,5593258222218862336,112.2197118,-31.115444,17.612,2.827,1.534,3.2959,23.3823,19.07,,,2.701,M3.7,,,0.985,,,-8.639,4.507,-9.236,0.076,3.87,0.076,0
Gaia,DR3,5586501658836312192,112.0908116,-36.9439151,16.811,,4.72,3.4025,23.5759,18.2,,,2.593,,,,1.237,,,-8.269,5.376,-5.762,0.063,4.765,0.077,0
Gaia,DR3,5592851166698244992,110.8779374,-32.1222042,17.386,2.998,1.263,1.8953,12.9888,19.22,,,2.615,M4.1,,,1.03,,,-8.097,4.65,-8.566,0.071,4.136,0.078,0
Gaia,DR3,5602684442777285760,107.9831938,-34.0056952,17.018,2.816,4.41,1.8159,12.9838,19.53,,,2.604,M3.7,,,1.852,,,-7.478,5.195,-5.615,0.106,6.741,0.113,0
Gaia,DR3,5590138976443871360,108.8013108,-36.462876,18.245,3.014,4.379,2.7759,23.6636,18.95,,,2.54,M4.1,,,0.989,,,-7.456,5.448,-5.488,0.122,6.722,0.14,0
Gaia,DR3,5590576925670333056,108.6275507,-34.9207025,17.739,2.783,2.907,1.6175,23.6952,19.25,,,2.498,M3.7,,,1.083,,,-7.301,5.101,-6.177,0.085,6.141,0.096,0
Gaia,DR3,5588212945613765376,112.7461469,-35.7507279,17.705,2.952,2.461,2.7949,23.6972,18.25,,,2.747,M4.0,,,1.066,,,-8.895,5.415,-7.555,0.078,4.927,0.083,0
Gaia,DR3,5590647333073099776,108.3091008,-34.5603068,16.115,1.969,2.331,1.6657,12.3533,19.37,,,2.599,M0.6,,,0.988,,,-7.531,5.265,-8.341,0.031,6.253,0.037,0
Gaia,DR3,5589102416157709952,109.747695,-37.377162,17.733,3.226,4.696,3.4719,23.9729,18.6,,,2.594,M4.7,,,1.017,,,-7.808,5.653,-5.47,0.086,6.716,0.1,0
Gaia,DR3,5586653662025359872,112.1558054,-36.4512579,18.401,2.931,4.413,3.0045,23.765,18.27,,,2.734,M4.0,,,1.021,,,-8.732,5.571,-11.137,0.121,6.4,0.134,0
Gaia,DR3,5591179977739857920,109.2864269,-33.3532216,16.461,2.28,2.13,0.9303,12.0994,19.37,,,2.566,M2.2,,,0.994,,,-7.632,4.905,-7.234,0.04,5.987,0.05,0
