Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr,rank_score
Gaia,DR3,5590921485126584832,110.1704096,-33.9223278,12.771,0.857,0.0,0.0,0.0,19.1,19.1,2.06,2.637,G5.4,,,0.917,,Gaia_DR3,-8.021,5.078,-8.021,0.01,5.078,0.013,3
Gaia,DR3,5589656088982368768,111.0502421,-36.0676116,15.475,2.33,0.108,2.2631,19.6447,18.56,-0.82,13.54,2.73,M2.4,,,0.997,,Gaia_DR3,-8.49,5.591,-8.551,0.024,5.605,0.029,3
Gaia,DR3,5592608071548308864,111.9360071,-32.3344984,10.256,0.257,0.073,2.1696,15.7865,18.96,10.53,2.95,2.594,A7.1,,,0.989,,Gaia_DR3,-8.24,4.571,-8.2,0.015,4.576,0.017,3
Gaia,DR3,5592407475090407040,111.4958145,-33.3896071,10.022,0.227,0.194,1.2251,8.2909,18.9,12.16,1.67,2.649,A6.9,,,3.402,,Gaia_DR3,-8.328,4.899,-8.239,0.049,4.96,0.054,3
Gaia,DR3,5592872774673376896,111.1310043,-32.0525305,19.659,3.056,1.11,2.036,15.1668,19.18,,,2.688,M4.2,,,0.997,,,-8.374,4.747,-8.145,0.327,5.332,0.353,2
Gaia,DR3,5591771755516466688,112.3585757,-33.0594116,13.173,0.951,0.178,2.0185,21.6541,18.76,16.93,5.26,2.525,G9.0,,,1.084,,Gaia_DR3,-8.101,4.544,-8.195,0.012,4.53,0.014,2
Gaia,DR3,5592863708002601216,110.5822325,-31.9404372,16.458,2.374,0.19,2.0118,14.9175,19.32,,,2.686,M2.6,,,1.063,,,-8.256,4.764,-8.176,0.039,4.693,0.046,2
Gaia,DR3,5605202805442339968,110.1855421,-30.6602086,19.396,3.015,1.133,3.2621,21.6376,19.58,,,2.652,M4.1,,,0.949,,,-8.07,4.49,-7.667,0.273,4.001,0.399,2
Gaia,DR3,5605043612473425664,108.8564972,-31.5266467,18.238,3.215,0.493,2.6383,21.6177,19.74,,,2.553,M4.6,,,1.069,,,-7.508,4.575,-7.74,0.115,4.704,0.135,2
Gaia,DR3,5593207094923704064,111.6399683,-31.8571609,18.71,3.153,0.477,2.4057,21.3941,19.1,,,2.543,M4.5,,,1.026,,,-8.022,4.419,-8.218,0.146,4.583,0.172,2
Gaia,DR3,5590530750481732096,108.4553669,-35.2776085,13.651,1.196,0.892,1.9569,21.2984,19.22,12.59,2.36,2.761,K2.9,,,3.687,,Gaia_DR3,-8.032,5.722,-8.534,0.044,5.59,0.052,2
Gaia,DR3,5591749176868993280,112.5675047,-33.3947331,19.072,3.102,1.202,2.0638,15.5737,18.66,,,2.587,M4.4,,,0.948,,,-8.342,4.7,-8.597,0.209,4.096,0.253,2
Gaia,DR3,5604893189842644992,110.207056,-31.7329156,16.682,2.469,0.256,2.1896,14.5887,19.43,,,2.65,M2.9,,,1.0,,,-8.07,4.69,-8.026,0.04,4.826,0.046,2
Gaia,DR3,5592811030219078144,111.6106365,-32.2552162,19.398,3.138,0.545,2.0579,15.6357,19.04,,,2.693,M4.5,,,1.036,,,-8.489,4.757,-8.222,0.265,4.6,0.32,2
Gaia,DR3,5589619147966665088,110.5222508,-36.5541617,20.293,2.611,2.831,2.6475,20.7391,18.59,,,2.564,M3.3,,,1.024,,,-7.871,5.379,-6.766,0.455,6.439,0.517,2
Gaia,DR3,5592777426394961280,111.2201389,-32.5045071,19.922,3.183,1.315,1.6678,15.6895,19.09,,,2.562,M4.6,,,1.015,,,-8.001,4.6,-8.526,0.319,5.079,0.36,2
Gaia,DR3,5592867036597008128,110.8616289,-31.8879695,18.904,3.317,0.853,2.1155,15.6895,19.26,,,2.59,M4.9,,,1.091,,,-8.017,4.564,-8.48,0.167,4.611,0.217,2
Gaia,DR3,5588388519576816512,113.7125814,-34.6426736,18.063,2.991,0.49,3.0139,20.7329,18.22,,,2.601,M4.1,,,1.019,,,-8.609,4.851,-8.841,0.113,4.715,0.115,2
Gaia,DR3,5592886243689939456,111.1871258,-31.7627678,18.314,3.35,0.687,2.3223,15.8878,19.21,,,2.611,M5.0,,,1.078,,,-8.147,4.554,-8.038,0.126,4.916,0.136,2
Gaia,DR3,5592880235037738496,111.1338295,-31.8034472,16.853,2.577,0.148,2.2681,15.9653,19.22,,,2.601,M3.2,,,1.05,,,-8.106,4.548,-8.177,0.058,4.587,0.059,2
Gaia,DR3,5592897140029152896,110.8841445,-31.7022741,12.562,0.824,0.439,2.2996,20.4744,19.28,20.87,3.09,2.738,G2.1,,,0.873,,Gaia_DR3,-8.479,4.786,-8.226,0.009,4.802,0.01,2
Gaia,DR3,5592828283111691648,111.2699706,-31.9579052,17.105,2.729,0.267,2.1703,14.7212,19.16,,,2.661,M3.6,,,1.088,,,-8.32,4.671,-8.36,0.056,4.527,0.065,2
Gaia,DR3,5592845703499906560,110.761141,-32.1569906,16.521,2.438,0.215,1.8335,14.5789,19.24,,,2.583,M2.8,,,1.09,,,-7.975,4.608,-8.08,0.046,4.555,0.058,2
Gaia,DR3,5591230830152448512,112.770516,-35.3176658,14.068,1.259,0.217,2.5543,20.3094,18.32,-8.23,8.1,2.563,K3.5,,,1.023,,Gaia_DR3,-8.303,4.975,-8.419,0.015,4.961,0.016,2
Gaia,DR3,5592841404232051712,110.8556098,-32.2308565,19.222,2.976,0.705,1.7862,14.5781,19.21,,,2.58,M4.1,,,1.045,,,-7.984,4.609,-8.191,0.23,4.287,0.279,2
Gaia,DR3,5590041399089194240,110.5324876,-35.0638686,20.266,2.782,2.55,1.1799,13.0536,18.84,,,2.566,M3.7,,,1.041,,,-7.879,5.119,-9.258,0.461,5.155,0.572,2
Gaia,DR3,5591821504113055104,114.1768956,-33.7603121,19.563,2.939,0.105,3.3314,23.1135,18.24,,,2.593,M4.0,,,0.937,,,-8.671,4.643,-8.71,0.254,4.601,0.317,2
Gaia,DR3,5591757423206215424,112.6515696,-33.2086374,19.784,2.606,1.324,2.1871,22.9892,18.67,,,2.52,M3.3,,,1.031,,,-8.141,4.539,-7.581,0.275,4.964,0.354,2
Gaia,DR3,5591475643281087232,113.3316265,-33.9244199,18.583,2.745,0.365,2.623,22.8492,18.41,,,2.54,M3.6,,,0.999,,,-8.334,4.645,-8.478,0.139,4.513,0.154,2
Gaia,DR3,5604877178200550400,110.3904269,-31.8730916,11.946,0.703,0.453,2.0575,13.6451,19.37,16.52,7.1,2.632,F8.4,,,0.99,,Gaia_DR3,-8.053,4.671,-8.022,0.012,4.92,0.014,2
Gaia,DR3,5589804282527961856,111.7596338,-35.2180048,18.526,1.332,0.867,1.8415,22.8187,18.55,,,2.779,K4.1,,,1.026,,,-8.793,5.467,-9.293,0.211,5.382,0.228,2
Gaia,DR3,5604781177094910080,110.2549276,-32.0029185,19.749,2.718,2.235,1.9207,13.7816,19.38,,,2.676,M3.5,,,1.013,,,-8.157,4.783,-7.078,0.369,5.433,0.381,2
Gaia,DR3,5592855869682124800,110.5993866,-32.178252,19.015,3.029,1.192,1.7807,22.543,19.28,,,2.511,M4.2,,,1.022,,,-7.721,4.495,-7.919,0.195,5.094,0.202,2
Gaia,DR3,5592811927868515200,111.6254015,-32.1795475,17.12,2.771,0.747,2.127,22.4324,19.05,,,2.522,M3.6,,,2.507,,,-7.954,4.441,-8.153,0.109,4.785,0.122,2
Gaia,DR3,5589759198257185792,111.2705971,-35.8172445,12.605,0.996,1.856,2.0989,14.0075,18.56,-3.03,6.89,2.651,K0.6,,,8.09,,Gaia_DR3,-8.288,5.364,-8.601,0.109,4.375,0.105,2
Gaia,DR3,5589777889957665280,111.7447096,-35.5818246,19.352,3.167,1.078,2.104,22.4065,18.5,,,2.766,M4.5,,,0.965,,,-8.749,5.512,-8.217,0.213,5.177,0.274,2
Gaia,DR3,5603471383866875776,108.300534,-32.5093618,17.36,2.78,0.339,2.1079,14.0394,19.71,,,2.627,M3.7,,,1.006,,,-7.61,4.935,-7.75,0.063,5.06,0.076,2
Gaia,DR3,5605229051984092800,109.3541531,-30.8306686,13.535,1.104,1.691,3.1675,22.2587,19.74,16.55,2.22,2.694,K2.0,,,2.049,,Gaia_DR3,-8.025,4.655,-8.023,0.021,5.615,0.023,2
Gaia,DR3,5604844227215855744,109.889004,-31.8850144,16.658,2.888,0.299,2.051,22.2435,19.47,,,2.767,M3.9,,,1.015,,,-8.358,4.951,-8.256,0.041,5.093,0.05,2
Gaia,DR3,5592848108681706752,110.9446343,-32.1173926,13.338,1.045,0.218,1.9181,14.5386,19.21,18.1,4.23,2.59,K1.6,,,0.977,,Gaia_DR3,-8.032,4.599,-8.151,0.011,4.603,0.013,2
Gaia,DR3,5592092400584674048,113.2989969,-33.0024451,19.703,2.458,3.158,2.7672,18.3181,18.56,,,2.636,M2.9,,,1.066,,,-8.644,4.658,-7.595,0.402,3.251,0.562,2
Gaia,DR3,5604937273387671296,110.676645,-31.2308022,16.913,2.575,0.25,2.7251,21.7702,19.4,,,2.557,M3.2,,,1.028,,,-7.879,4.4,-7.894,0.053,4.534,0.058,2
Gaia,DR3,5592893905908057728,110.970688,-31.7264971,10.161,0.186,0.474,2.2965,16.0079,19.26,18.57,4.79,2.674,A4.6,,,0.894,,Gaia_DR3,-8.3,4.673,-8.036,0.014,4.713,0.017,2
Gaia,DR3,5589760783107827712,111.2357631,-35.7237067,12.088,0.648,4.952,2.0024,16.0577,18.58,36.52,1.92,2.703,F6.2,,,14.369,,Gaia_DR3,-8.443,5.455,-7.553,0.397,8.132,0.426,2
Gaia,DR3,5592071681672049152,113.1953467,-33.2256591,16.637,2.508,0.17,2.6147,23.5671,18.55,,,2.756,M3.1,,,0.93,,,-9.014,4.92,-9.013,0.043,5.019,0.05,2
Gaia,DR3,5604973312449611776,109.956648,-31.1922644,17.649,2.856,0.234,2.736,20.2289,19.56,,,2.578,M3.8,,,0.936,,,-7.801,4.48,-7.855,0.075,4.595,0.09,2
Gaia,DR3,5592829275242383616,111.4888916,-32.0143202,18.929,,0.6,2.2054,17.0987,19.11,,,2.578,,,,0.984,,,-8.103,4.519,-7.882,0.163,4.759,0.19,2
Gaia,DR3,5592516709001550720,111.6850327,-33.0183781,18.181,2.941,0.202,1.5535,19.393,18.92,,,2.528,M4.0,,,0.995,,,-7.983,4.595,-7.993,0.109,4.487,0.12,2
Gaia,DR3,5592885114120427776,111.3219571,-31.7291635,17.842,3.392,0.504,2.3971,17.3101,19.18,,,2.591,M5.1,,,1.143,,,-8.113,4.503,-7.86,0.1,4.394,0.118,2
Gaia,DR3,5593263341813388032,111.4878806,-31.5568397,10.7,0.385,1.339,2.6121,19.3791,19.17,21.74,1.52,2.58,F0.0,,,0.889,,Gaia_DR3,-8.108,4.439,-8.836,0.011,4.435,0.013,2
Gaia,DR3,5604919509402857728,110.8693109,-31.4006734,18.637,,0.303,2.5894,17.332,19.33,,,2.658,,,,0.98,,,-8.228,4.591,-8.318,0.17,4.447,0.177,2
Gaia,DR3,5592907688468478976,111.1097101,-31.4052931,13.471,1.092,0.185,2.6383,17.4601,19.28,14.23,3.49,2.638,K2.0,,,0.964,,Gaia_DR3,-8.215,4.539,-8.197,0.011,4.641,0.013,2
Gaia,DR3,5592848070018543872,110.9278392,-32.1395405,18.496,2.952,0.841,1.8925,17.4725,19.21,,,2.726,M4.0,,,1.078,,,-8.451,4.846,-7.978,0.159,4.945,0.174,2
Gaia,DR3,5590079400960902400,111.0089203,-34.5575018,19.685,2.886,1.655,0.9402,17.5557,18.82,,,2.756,M3.9,,,1.032,,,-8.563,5.361,-9.473,0.347,5.052,0.301,2
Gaia,DR3,5604999185333256960,110.067407,-31.0568183,18.301,3.151,0.413,2.8668,19.1603,19.55,,,2.621,M4.5,,,1.001,,,-7.954,4.522,-7.754,0.11,4.633,0.144,2
Gaia,DR3,5590138392331012224,108.7471338,-36.5230624,17.193,3.148,1.401,2.8487,18.9725,18.95,,,2.625,M4.5,,,3.769,,,-7.695,5.646,-8.215,0.23,6.221,0.28,2
Gaia,DR3,5604927510917553280,110.6589024,-31.3291734,19.037,3.055,0.446,2.6256,18.9406,19.39,,,2.588,M4.2,,,1.073,,,-7.97,4.472,-7.877,0.206,4.697,0.219,2
Gaia,DR3,5592834467864569472,111.2800518,-31.920295,17.659,2.827,0.072,2.2081,18.9397,19.17,,,2.557,M3.7,,,0.988,,,-7.997,4.482,-7.958,0.078,4.478,0.089,2
Gaia,DR3,5592402119274033536,111.1739273,-33.5660149,14.557,1.503,0.639,0.9073,17.9875,18.94,18.44,5.08,2.76,K5.2,,,1.004,,Gaia_DR3,-8.61,5.165,-8.241,0.016,5.213,0.019,2
Gaia,DR3,5589737242382973312,112.0747443,-35.53218,19.102,3.421,0.901,2.2452,18.7134,18.44,,,2.562,M5.1,,,0.963,,,-8.165,5.068,-7.69,0.173,4.962,0.237,2
Gaia,DR3,5593217235349990144,111.7396096,-31.6354328,15.289,1.819,0.229,2.6401,18.6616,19.11,25.01,14.59,2.686,K7.8,,,0.927,,Gaia_DR3,-8.493,4.617,-8.389,0.022,4.695,0.029,2
Gaia,DR3,5592452696810936064,111.1810535,-33.3919858,17.899,,1.388,0.9944,18.6487,18.97,,,2.764,,,,1.277,,,-8.623,5.138,-8.228,0.487,5.843,0.399,2
Gaia,DR3,5605293583865331456,111.1052706,-31.2960251,17.829,2.913,0.276,2.7418,18.2363,19.29,,,2.627,M3.9,,,1.018,,,-8.18,4.5,-8.034,0.084,4.548,0.101,2
Gaia,DR3,5602636403564501120,107.4320659,-34.7367987,19.917,2.581,2.906,2.4034,19.5577,19.51,,,2.562,M3.2,,,1.069,,,-7.245,5.285,-8.33,0.409,6.418,0.447,2
Gaia,DR3,5592836009752232832,111.5072122,-31.8100325,18.258,,0.522,2.3921,19.5632,19.13,,,2.561,,,,1.078,,,-8.054,4.452,-8.336,0.122,4.438,0.13,2
Gaia,DR3,5592887965967383040,111.1811469,-31.6703357,17.679,,1.048,2.4069,16.9841,19.22,,,2.598,,,,0.95,,,-8.107,4.515,-7.977,0.13,5.075,0.336,2
Gaia,DR3,5591440527638385536,113.0362547,-34.2900861,12.848,0.881,0.808,2.4012,16.2626,18.42,19.86,3.2,2.615,G7.1,,,1.012,,Gaia_DR3,-8.523,4.872,-8.08,0.013,4.913,0.015,2
Gaia,DR3,5602578683501767936,106.6300672,-34.7367444,8.472,0.04,2.738,3.0348,20.1563,19.67,18.62,3.61,2.628,A1.4,,,1.761,,Gaia_DR3,-7.263,5.48,-7.183,0.037,6.995,0.041,2
Gaia,DR3,5604733417057780480,109.7062398,-32.6077197,16.88,2.904,0.159,1.3707,16.1064,19.4,,,2.548,M3.9,,,1.005,,,-7.66,4.704,-7.611,0.05,4.774,0.064,2
Gaia,DR3,5592851785173579392,110.7778554,-32.1175466,17.185,2.88,0.299,1.8753,16.1403,19.25,,,2.568,M3.9,,,1.013,,,-7.933,4.573,-7.788,0.058,4.501,0.078,2
Gaia,DR3,5592853434440934016,110.9508252,-32.0322776,16.916,2.867,0.335,2.0002,16.1548,19.22,,,2.575,M3.8,,,1.06,,,-7.989,4.558,-7.996,0.065,4.74,0.079,2
Gaia,DR3,5592649578109621248,110.1222963,-33.1560321,13.836,1.47,0.191,0.7673,20.1131,19.23,11.32,3.2,2.779,K5.1,,,1.064,,Gaia_DR3,-8.446,5.207,-8.432,0.013,5.318,0.014,2
Gaia,DR3,5605165593843370624,109.7881648,-31.0549536,17.954,,0.736,2.8854,20.0627,19.61,,,2.684,,,,1.23,,,-8.085,4.649,-7.75,0.209,4.897,0.272,2
Gaia,DR3,5591858513848400768,113.4779015,-33.6436283,20.19,2.465,1.179,2.763,20.0061,18.42,,,2.697,M2.9,,,1.104,,,-8.88,4.869,-8.307,0.443,5.217,0.519,2
Gaia,DR3,5604923937503979776,110.6346026,-31.4903019,18.538,3.231,1.145,2.4632,16.3333,19.37,,,2.632,M4.7,,,1.077,,,-8.101,4.58,-7.694,0.141,5.068,0.163,2
Gaia,DR3,5605067565507481856,109.1775647,-31.3947839,18.574,,0.878,2.6621,19.6428,19.69,,,2.58,,,,0.986,,,-7.651,4.576,-7.813,0.189,5.026,0.164,2
Gaia,DR3,5593208507967732096,111.6213984,-31.811246,18.963,3.205,0.821,2.4375,16.3973,19.11,,,2.619,M4.6,,,1.013,,,-8.257,4.543,-8.596,0.175,4.243,0.206,2
Gaia,DR3,5604950604968762624,110.260698,-31.4588488,17.271,2.771,1.68,2.4647,16.4628,19.45,,,2.624,M3.6,,,1.921,,,-8.0,4.587,-7.51,0.186,3.798,0.268,2
Gaia,DR3,5604947095973298304,109.9654267,-31.5158251,19.969,3.222,1.473,2.4127,19.8584,19.51,,,2.724,M4.7,,,1.039,,,-8.243,4.796,-7.465,0.382,4.464,0.481,2
Gaia,DR3,5604924418545177728,110.5213641,-31.4972495,18.419,3.027,0.399,2.443,19.7121,19.39,,,2.563,M4.2,,,1.04,,,-7.866,4.469,-8.081,0.121,4.452,0.14,2
Gaia,DR3,5592882983816745984,111.2212642,-31.8018884,16.549,2.361,0.245,2.2968,16.6252,19.2,,,2.593,M2.6,,,0.984,,,-8.096,4.526,-8.209,0.042,4.598,0.044,2
Gaia,DR3,5592898132159795328,110.9036824,-31.6386308,18.198,3.045,0.48,2.3654,16.7452,19.29,,,2.598,M4.2,,,1.043,,,-8.05,4.529,-7.908,0.126,4.75,0.134,2
Gaia,DR3,5592564812631746304,111.6103714,-32.9572555,19.841,2.701,2.121,1.5411,19.6448,18.94,,,2.76,M3.5,,,0.992,,,-8.7,5.01,-7.795,0.335,4.171,0.383,2
Gaia,DR3,5592859374373281792,110.6528893,-32.0073658,19.603,2.673,0.694,1.9573,13.0379,19.29,,,2.648,M3.4,,,1.015,,,-8.156,4.705,-8.392,0.288,4.399,0.311,2
Gaia,DR3,5590731441413656704,109.3133622,-35.1414596,19.813,2.673,1.286,1.4088,21.8126,19.08,,,2.782,M3.4,,,1.215,,,-8.279,5.668,-8.387,0.388,6.414,0.489,2
Gaia,DR3,5592714277498549376,109.8646119,-32.970036,18.695,3.449,1.078,0.9859,8.933,19.31,,,2.68,M5.2,,,1.042,,,-8.09,5.005,-8.498,0.152,5.458,0.194,2
Gaia,DR3,5590982954701338112,109.4668279,-34.3084115,18.535,2.875,0.687,0.6988,9.946,19.18,,,2.699,M3.8,,,1.016,,,-8.065,5.329,-7.948,0.128,5.701,0.143,2
Gaia,DR3,5590709451182280064,109.9251859,-35.0630788,19.388,3.103,1.159,1.1585,7.7733,18.96,,,2.628,M4.4,,,0.994,,,-7.946,5.291,-7.377,0.231,5.589,0.227,2
Gaia,DR3,5591637370276050432,111.739422,-33.7077003,11.271,0.589,0.905,1.3211,8.8078,18.8,19.75,1.9,2.63,F5.0,,,0.907,,Gaia_DR3,-8.316,4.902,-8.818,0.013,4.892,0.015,2
Gaia,DR3,5603232854261298304,109.560419,-32.7166358,18.705,3.33,0.161,1.309,8.8749,19.42,,,2.651,M4.9,,,1.011,,,-7.939,4.925,-7.891,0.137,4.849,0.177,2
Gaia,DR3,5603079820284081792,108.6861467,-33.6592551,20.163,2.703,3.148,1.2613,12.2076,19.45,,,2.577,M3.5,,,0.982,,,-7.542,5.025,-6.531,0.422,6.405,0.554,2
Gaia,DR3,5604749806656139520,109.5726034,-32.499792,14.449,0.886,2.578,1.5079,12.1518,19.45,44.66,3.48,2.687,G7.5,,,21.422,,Gaia_DR3,-8.049,4.95,-8.326,0.373,3.516,0.448,2
Gaia,DR3,5592483238314279936,111.0092851,-32.9206135,17.939,3.13,0.47,1.2221,9.3767,19.08,,,2.605,M4.4,,,1.175,,,-8.092,4.769,-7.894,0.108,4.934,0.129,2
Gaia,DR3,5592750733181682688,110.2081843,-32.5351855,17.069,2.675,0.229,1.3875,9.3979,19.31,,,2.651,M3.4,,,0.97,,,-8.074,4.843,-7.997,0.058,4.946,0.063,2
Gaia,DR3,5586507328199028352,111.5453842,-37.3478372,12.981,1.072,0.644,3.603,23.8801,18.24,15.02,3.81,2.652,K1.9,,,2.223,,Gaia_DR3,-8.347,5.618,-8.698,0.03,5.537,0.037,2
Gaia,DR3,5592710429207594496,110.178005,-32.8297929,17.007,2.906,0.215,1.0926,11.7075,19.27,,,2.703,M3.9,,,1.803,,,-8.224,4.996,-8.342,0.085,4.963,0.094,2
Gaia,DR3,5590965710406881280,109.0006294,-34.4555974,19.651,2.85,1.541,1.1048,9.5191,19.25,,,2.68,M3.8,,,1.022,,,-7.91,5.355,-8.733,0.312,5.071,0.406,2
Gaia,DR3,5589124578185453824,110.5384304,-37.4452542,19.205,,2.307,3.5356,23.9276,18.43,,,2.677,,,,1.512,,,-8.221,5.778,-7.082,0.456,5.147,0.504,2
Gaia,DR3,5592580068360820992,111.1764508,-32.7352699,17.923,3.213,0.56,1.4545,9.7503,19.07,,,2.648,M4.6,,,1.156,,,-8.261,4.801,-8.532,0.109,4.956,0.114,2
Gaia,DR3,5586133008914132352,111.2745468,-37.4849366,19.66,2.845,2.493,3.6736,24.5129,18.27,,,2.665,M3.8,,,2.05,,,-8.332,5.693,-9.688,0.525,6.042,0.57,2
Gaia,DR3,5592510043212409600,111.5943037,-33.1175025,17.11,2.765,0.159,1.4342,9.9858,18.92,,,2.616,M3.6,,,1.025,,,-8.243,4.78,-8.324,0.056,4.745,0.06,2
Gaia,DR3,5587926243658122752,113.5637981,-36.4220551,19.936,2.678,2.699,3.7335,24.7747,17.97,,,2.656,M3.5,,,1.072,,,-8.76,5.281,-7.767,0.518,4.143,0.501,2
Gaia,DR3,5605060620544711808,109.4542379,-31.3657915,17.731,2.931,0.45,2.6267,24.3862,19.64,,,2.764,M4.0,,,1.033,,,-8.256,4.876,-8.101,0.092,5.087,0.103,2
Gaia,DR3,5590907809954509440,110.2713959,-34.0754555,18.729,3.219,0.357,0.1745,10.0469,19.05,,,2.569,M4.7,,,1.089,,,-7.836,4.968,-8.01,0.173,5.052,0.198,2
Gaia,DR3,5590181449381287296,107.7646261,-36.5464359,11.393,0.643,2.508,3.278,24.0166,19.13,19.04,1.08,2.571,F6.1,,,1.031,,Gaia_DR3,-7.338,5.61,-5.979,0.016,5.615,0.021,2
Gaia,DR3,5592785951913278976,110.8870032,-32.5374571,16.416,2.331,0.148,1.509,10.0849,19.16,,,2.647,M2.4,,,0.998,,,-8.199,4.785,-8.28,0.034,4.766,0.043,2
Gaia,DR3,5592696376073633536,110.7678014,-32.4789346,17.584,2.769,0.198,1.5275,11.2004,19.2,,,2.671,M3.6,,,0.948,,,-8.25,4.827,-8.184,0.068,4.916,0.089,2
Gaia,DR3,5591628269248524160,111.528661,-33.9178612,17.497,2.919,0.145,1.1271,11.1627,18.81,,,2.696,M3.9,,,1.045,,,-8.482,5.082,-8.4,0.106,5.078,0.111,2
Gaia,DR3,5604295089867491328,106.6701011,-31.7451315,19.391,2.38,0.852,3.6589,24.3326,20.15,,,2.625,M2.6,,,1.091,,,-7.262,4.895,-7.323,0.271,5.362,0.325,2
Gaia,DR3,5592610682881895040,111.6078276,-32.4842741,19.887,2.817,1.265,1.8747,23.5915,19.01,,,2.785,M3.7,,,1.078,,,-8.78,4.965,-8.511,0.343,4.273,0.424,2
Gaia,DR3,5592788009198903168,110.9411975,-32.4656764,19.618,2.848,0.555,1.5931,10.8967,19.16,,,2.619,M3.8,,,1.094,,,-8.121,4.716,-8.218,0.26,5.006,0.33,2
Gaia,DR3,5588379070644636800,114.0764646,-34.6788157,12.774,0.917,0.19,3.314,24.0659,18.13,11.56,2.89,2.574,G8.4,,,1.43,,Gaia_DR3,-8.586,4.775,-8.689,0.016,4.781,0.021,2
Gaia,DR3,5591533195850163456,111.6715992,-34.3605008,17.766,2.883,0.303,1.3174,10.263,18.71,,,2.6,M3.9,,,1.037,,,-8.209,4.969,-8.16,0.086,4.81,0.104,2
Gaia,DR3,5588345471124997248,113.8633719,-34.9558324,18.243,3.019,0.336,3.216,24.1521,18.13,,,2.563,M4.2,,,1.012,,,-8.512,4.821,-8.558,0.121,4.646,0.129,2
Gaia,DR3,5592752245010280320,110.3553744,-32.4706854,13.572,1.038,0.184,1.4599,10.5768,19.28,15.41,2.43,2.608,K1.6,,,0.953,,Gaia_DR3,-7.971,4.741,-8.065,0.012,4.778,0.013,2
Gaia,DR3,5592839686245415296,110.8134914,-32.3275061,19.577,2.824,1.156,1.6833,12.3874,19.21,,,2.601,M3.7,,,0.995,,,-8.04,4.667,-8.046,0.25,5.301,0.326,2
Gaia,DR3,5592485402986867712,111.0727018,-32.8262604,18.784,3.338,0.434,1.3301,24.1987,19.08,,,2.804,M4.9,,,0.977,,,-8.724,5.11,-8.522,0.16,5.267,0.182,2
Gaia,DR3,5592540245416913664,111.9918677,-32.8250356,17.897,2.784,0.126,1.8755,12.4192,18.88,,,2.635,M3.7,,,1.022,,,-8.383,4.73,-8.449,0.082,4.706,0.099,2
Gaia,DR3,5593358625663479808,112.5921216,-30.9342538,20.038,2.384,2.278,3.62,24.8679,19.01,,,2.596,M2.7,,,0.993,,,-8.375,4.271,-9.074,0.402,3.238,0.448,2
Gaia,DR3,5590914303941225728,110.6942532,-33.8493325,16.978,2.609,0.247,0.441,5.2747,19.0,,,2.668,M3.3,,,0.993,,,-8.223,5.082,-8.324,0.052,4.987,0.057,2
Gaia,DR3,5566390968395241728,106.7471065,-36.4345308,19.877,2.891,2.301,3.7599,24.9431,19.34,,,2.629,M3.9,,,1.069,,,-7.291,5.794,-7.14,0.42,7.061,0.437,2
Gaia,DR3,5604778011699119232,110.3158884,-32.0266528,9.325,-0.009,0.19,1.8996,12.9689,19.36,13.51,3.91,2.66,A0.7,,,1.086,,Gaia_DR3,-8.123,4.756,-8.106,0.022,4.65,0.024,2
Gaia,DR3,5590592043957819648,107.8219141,-35.0806163,19.851,2.832,0.617,2.2554,23.6522,19.38,,,2.773,M3.8,,,1.094,,,-7.927,5.758,-7.607,0.382,5.926,0.398,2
Gaia,DR3,5592861749497777664,110.5850428,-32.0637029,16.244,2.251,0.131,1.8909,12.7616,19.3,,,2.621,M2.0,,,0.996,,,-8.057,4.672,-8.026,0.034,4.737,0.039,2
Gaia,DR3,5604791862973284480,110.0902255,-32.0321736,16.28,2.306,0.225,1.8914,12.6923,19.41,,,2.653,M2.3,,,0.99,,,-8.054,4.76,-7.988,0.039,4.867,0.042,2
Gaia,DR3,5593432529168887808,111.9888635,-30.5298235,17.739,2.888,0.498,3.7248,24.7935,19.2,,,2.662,M3.9,,,0.982,,,-8.466,4.349,-8.667,0.094,4.544,0.09,2
Gaia,DR3,5590866784426915072,110.7585569,-33.8983506,19.538,3.036,0.603,0.4887,3.2873,18.98,,,2.633,M4.2,,,1.037,,,-8.128,5.02,-8.381,0.265,4.8,0.282,2
Gaia,DR3,5591629162601727872,111.4882011,-33.886709,17.583,3.18,0.308,1.0943,23.6195,18.82,,,2.803,M4.6,,,1.005,,,-8.811,5.281,-8.634,0.087,5.24,0.102,2
Gaia,DR3,5592541894690663168,112.0470398,-32.7840105,15.424,2.077,0.286,1.9372,12.8385,18.87,26.96,7.18,2.643,M0.9,,,1.032,,Gaia_DR3,-8.418,4.731,-8.486,0.024,4.876,0.029,2
Gaia,DR3,5592674523280213504,110.9856586,-32.7495535,18.589,3.068,0.385,1.3562,12.8799,19.11,,,2.575,M4.3,,,1.06,,,-7.994,4.684,-7.803,0.156,4.769,0.191,2
Gaia,DR3,5592609716515072512,111.6694952,-32.5059392,18.899,3.327,1.122,1.8918,12.9869,18.99,,,2.614,M4.9,,,1.012,,,-8.253,4.659,-8.695,0.162,4.227,0.208,2
