Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,5592836009752232832,111.5072122,-31.8100325,18.258,,0.522,2.3921,19.5632,19.13,,,2.561,,,,1.078,,,-8.054,4.452,-8.336,0.122,4.438,0.13
Gaia,DR3,5605067565507481856,109.1775647,-31.3947839,18.574,,0.878,2.6621,19.6428,19.69,,,2.58,,,,0.986,,,-7.651,4.576,-7.813,0.189,5.026,0.164
Gaia,DR3,5589656088982368768,111.0502421,-36.0676116,15.475,2.33,0.108,2.2631,19.6447,18.56,-0.82,13.54,2.73,M2.4,,,0.997,,Gaia_DR3,-8.49,5.591,-8.551,0.024,5.605,0.029
Gaia,DR3,5592564812631746304,111.6103714,-32.9572555,19.841,2.701,2.121,1.5411,19.6448,18.94,,,2.76,M3.5,,,0.992,,,-8.7,5.01,-7.795,0.335,4.171,0.383
Gaia,DR3,5604924418545177728,110.5213641,-31.4972495,18.419,3.027,0.399,2.443,19.7121,19.39,,,2.563,M4.2,,,1.04,,,-7.866,4.469,-8.081,0.121,4.452,0.14
Gaia,DR3,5604947095973298304,109.9654267,-31.5158251,19.969,3.222,1.473,2.4127,19.8584,19.51,,,2.724,M4.7,,,1.039,,,-8.243,4.796,-7.465,0.382,4.464,0.481
Gaia,DR3,5591858513848400768,113.4779015,-33.6436283,20.19,2.465,1.179,2.763,20.0061,18.42,,,2.697,M2.9,,,1.104,,,-8.88,4.869,-8.307,0.443,5.217,0.519
Gaia,DR3,5605165593843370624,109.7881648,-31.0549536,17.954,,0.736,2.8854,20.0627,19.61,,,2.684,,,,1.23,,,-8.085,4.649,-7.75,0.209,4.897,0.272
Gaia,DR3,5604973312449611776,109.956648,-31.1922644,17.649,2.856,0.234,2.736,20.2289,19.56,,,2.578,M3.8,,,0.936,,,-7.801,4.48,-7.855,0.075,4.595,0.09
Gaia,DR3,5588388519576816512,113.7125814,-34.6426736,18.063,2.991,0.49,3.0139,20.7329,18.22,,,2.601,M4.1,,,1.019,,,-8.609,4.851,-8.841,0.113,4.715,0.115
Gaia,DR3,5589619147966665088,110.5222508,-36.5541617,20.293,2.611,2.831,2.6475,20.7391,18.59,,,2.564,M3.3,,,1.024,,,-7.871,5.379,-6.766,0.455,6.439,0.517
Gaia,DR3,5593207094923704064,111.6399683,-31.8571609,18.71,3.153,0.477,2.4057,21.3941,19.1,,,2.543,M4.5,,,1.026,,,-8.022,4.419,-8.218,0.146,4.583,0.172
Gaia,DR3,5605043612473425664,108.8564972,-31.5266467,18.238,3.215,0.493,2.6383,21.6177,19.74,,,2.553,M4.6,,,1.069,,,-7.508,4.575,-7.74,0.115,4.704,0.135
Gaia,DR3,5605202805442339968,110.1855421,-30.6602086,19.396,3.015,1.133,3.2621,21.6376,19.58,,,2.652,M4.1,,,0.949,,,-8.07,4.49,-7.667,0.273,4.001,0.399
Gaia,DR3,5604937273387671296,110.676645,-31.2308022,16.913,2.575,0.25,2.7251,21.7702,19.4,,,2.557,M3.2,,,1.028,,,-7.879,4.4,-7.894,0.053,4.534,0.058
Gaia,DR3,5590731441413656704,109.3133622,-35.1414596,19.813,2.673,1.286,1.4088,21.8126,19.08,,,2.782,M3.4,,,1.215,,,-8.279,5.668,-8.387,0.388,6.414,0.489
Gaia,DR3,5604844227215855744,109.889004,-31.8850144,16.658,2.888,0.299,2.051,22.2435,19.47,,,2.767,M3.9,,,1.015,,,-8.358,4.951,-8.256,0.041,5.093,0.05
