Gaia DR3                              RA         DEC   Gmag  Bp-Rp  Voff(km/s) Sep(deg)   3D(pc) Vr(pred)  Vr(obs)    Vrerr Plx(mas)  SpT    FnuvJ  W1-W3    RUWE  XCrate RVsrc 
Gaia DR3 5591043702716147200 109.0555823 -34.1489926 18.935  2.679       2.643   0.9512   7.7094    19.29      nan      nan    2.606 M3.5      nan    nan   1.059     nan                                None
Gaia DR3 5590709451182280064 109.9251859 -35.0630788 19.388  3.103       1.159   1.1585   7.7733    18.96      nan      nan    2.628 M4.4      nan    nan   0.994     nan                                None
Gaia DR3 5590805181713016704 110.4019502 -34.6446410 17.933  2.500       4.024   0.7472   7.9459    18.93      nan      nan    2.681 M3.0      nan    nan   1.051     nan                                None
Gaia DR3 5592407475090407040 111.4958145 -33.3896071 10.022  0.227       0.194   1.2251   8.2909    18.90    12.16     1.67    2.649 A6.9      nan    nan   3.402     nan                            Gaia DR3
Gaia DR3 5591049651250573824 108.9917405 -34.0269267 14.073  1.616       2.467   0.9830   8.6425    19.32    -9.90     6.08    2.677 K5.6      nan    nan   2.372     nan                            Gaia DR3
Gaia DR3 5590077060198354048 110.8780703 -34.6406041 18.454  2.519       3.715   0.9262   8.6846    18.84      nan      nan    2.680 M3.1      nan    nan   0.919     nan                                None
Gaia DR3 5591637370276050432 111.7394220 -33.7077003 11.271  0.589       0.905   1.3211   8.8078    18.80    19.75     1.90    2.630 F5.0      nan    nan   0.907     nan                            Gaia DR3
Gaia DR3 5603232854261298304 109.5604190 -32.7166358 18.705  3.330       0.161   1.3090   8.8749    19.42      nan      nan    2.651 M4.9      nan    nan   1.011     nan                                None
Gaia DR3 5592714277498549376 109.8646119 -32.9700360 18.695  3.449       1.078   0.9859   8.9330    19.31      nan      nan    2.680 M5.2      nan    nan   1.042     nan                                None
Gaia DR3 5592720634050133760 109.7702947 -32.7498567 18.108  2.560       4.705   1.2192   9.0184    19.37      nan      nan    2.665 M3.2      nan    nan   0.978     nan                                None
Gaia DR3 5592483238314279936 111.0092851 -32.9206135 17.939  3.130       0.470   1.2221   9.3767    19.08      nan      nan    2.605 M4.4      nan    nan   1.175     nan                                None
Gaia DR3 5592750733181682688 110.2081843 -32.5351855 17.069  2.675       0.229   1.3875   9.3979    19.31      nan      nan    2.651 M3.4      nan    nan   0.970     nan                                None
Gaia DR3 5590024391017836800 110.7254104 -35.2088786 15.252  1.586       4.375   1.3653   9.4864    18.77      nan      nan    2.658 K5.5      nan    nan   1.010     nan                                None
Gaia DR3 5590965710406881280 109.0006294 -34.4555974 19.651  2.850       1.541   1.1048   9.5191    19.25      nan      nan    2.680 M3.8      nan    nan   1.022     nan                                None
Gaia DR3 5590776727551551744 109.7364351 -34.5458631 18.307  3.149       1.795   0.7194   9.6040    19.09      nan      nan    2.696 M4.5      nan    nan   0.940     nan                                None
Gaia DR3 5591010240631207936 108.7314194 -34.4448936 16.932  2.564       2.381   1.3000   9.7348    19.31      nan      nan    2.669 M3.2      nan    nan   1.049     nan                                None
Gaia DR3 5592580068360820992 111.1764508 -32.7352699 17.923  3.213       0.560   1.4545   9.7503    19.07      nan      nan    2.648 M4.6      nan    nan   1.156     nan                                None
Gaia DR3 5592690461899075328 110.8032808 -32.6499427 18.103  2.616       3.932   1.3780   9.8973    19.16      nan      nan    2.611 M3.3      nan    nan   1.082     nan                                None
Gaia DR3 5590982954701338112 109.4668279 -34.3084115 18.535  2.875       0.687   0.6988   9.9460    19.18      nan      nan    2.699 M3.8      nan    nan   1.016     nan                                None
Gaia DR3 5592510043212409600 111.5943037 -33.1175025 17.110  2.765       0.159   1.4342   9.9858    18.92      nan      nan    2.616 M3.6      nan    nan   1.025     nan                                None
Gaia DR3 5592687236383347968 110.5329238 -32.6796581 16.725  2.486       0.367   1.2791   9.9983    19.22      nan      nan    2.601 M3.0      nan    nan   0.989     nan                                None
Gaia DR3 5591603457217230464 111.3853637 -33.9882790 17.530  3.027       0.648   1.0099  10.0128    18.83      nan      nan    2.586 M4.2      nan    nan   1.096     nan                                None
Gaia DR3 5590710585053036416 109.8998634 -35.0033416 17.899  3.053       0.710   1.1038  10.0318    18.98      nan      nan    2.590 M4.2      nan    nan   1.018     nan                                None
Gaia DR3 5590907809954509440 110.2713959 -34.0754555 18.729  3.219       0.357   0.1745  10.0469    19.05      nan      nan    2.569 M4.7      nan    nan   1.089     nan                                None
Gaia DR3 5592785951913278976 110.8870032 -32.5374571 16.416  2.331       0.148   1.5090  10.0849    19.16      nan      nan    2.647 M2.4      nan    nan   0.998     nan                                None
Gaia DR3 5590678802293868416 109.4480278 -35.3221127 18.938  3.101       2.338   1.5208  10.1030    19.02      nan      nan    2.631 M4.4      nan    nan   1.045     nan                                None
Gaia DR3 5591526495701204096 111.6518702 -34.4433853 14.374  1.279       1.902   1.3317  10.1390    18.70    15.02     3.06    2.673 K3.6      nan    nan   0.972     nan                            Gaia DR3
Gaia DR3 5591533195850163456 111.6715992 -34.3605008 17.766  2.883       0.303   1.3174  10.2630    18.71      nan      nan    2.600 M3.9      nan    nan   1.037     nan                                None
Gaia DR3 5592559727395814784 111.4735163 -32.9536010 18.195  3.031       0.898   1.4563  10.3423    18.97      nan      nan    2.612 M4.2      nan    nan   0.859     nan                                None
Gaia DR3 5590892932187600512 109.8655761 -34.1210053 19.339  3.316       4.521   0.3214  10.3729    19.13      nan      nan    2.568 M4.9      nan    nan   0.941     nan                                None
Gaia DR3 5591558450258749568 111.9184176 -34.2274253 10.919  0.691       3.484   1.4797  10.3818    18.68    36.80     1.13    2.662 F7.9      nan    nan   1.005     nan                            Gaia DR3
Gaia DR3 5592752245010280320 110.3553744 -32.4706854 13.572  1.038       0.184   1.4599  10.5768    19.28    15.41     2.43    2.608 K1.6      nan    nan   0.953     nan                            Gaia DR3
Gaia DR3 5591737567576190848 111.9849854 -33.3793165 16.791  2.624       0.354   1.6051  10.6248    18.79      nan      nan    2.638 M3.3      nan    nan   0.968     nan                                None
Gaia DR3 5590015457486859904 111.3872265 -34.8451030 13.085  0.978       0.817   1.3638  10.6641    18.69     7.52     3.28    2.677 G9.9      nan    nan   0.928     nan                            Gaia DR3
Gaia DR3 5592713968260530944 110.2370613 -32.6574781 11.440  0.774       1.900   1.2661  10.8635    19.28    21.76     5.12    2.590 F9.7      nan    nan   3.528     nan                            Gaia DR3
Gaia DR3 5592788009198903168 110.9411975 -32.4656764 19.618  2.848       0.555   1.5931  10.8967    19.16      nan      nan    2.619 M3.8      nan    nan   1.094     nan                                None
Gaia DR3 5592499872729705728 111.8466979 -33.1885572 14.623  1.280       4.508   1.5779  10.9880    18.85    21.19     5.70    2.614 K3.6      nan    nan   0.996     nan                            Gaia DR3
Gaia DR3 5591628269248524160 111.5286610 -33.9178612 17.497  2.919       0.145   1.1271  11.1627    18.81      nan      nan    2.696 M3.9      nan    nan   1.045     nan                                None
Gaia DR3 5592696376073633536 110.7678014 -32.4789346 17.584  2.769       0.198   1.5275  11.2004    19.20      nan      nan    2.671 M3.6      nan    nan   0.948     nan                                None
Gaia DR3 5590299131484503424 109.3666612 -35.4716944 17.274  2.778       2.238   1.6844  11.2032    19.01      nan      nan    2.645 M3.7      nan    nan   1.477     nan                                None
Gaia DR3 5589999578990292352 111.6703356 -34.9898627 19.534  2.867       3.960   1.6337  11.2950    18.61      nan      nan    2.615 M3.8      nan    nan   1.026     nan                                None
Gaia DR3 5592495096726291584 112.0486308 -33.2376867 14.293  1.452       3.105   1.7080  11.3668    18.80   -12.30    16.41    2.629 K5.0      nan    nan   1.655     nan                            Gaia DR3
Gaia DR3 5590994740088658944 109.0721354 -34.2881652 19.089  3.241       3.359   0.9802  11.4080    19.27      nan      nan    2.704 M4.7      nan    nan   1.074     nan                                None
Gaia DR3 5604745546045121408 109.8629827 -32.3951262 17.596  2.860       0.658   1.5487  11.4402    19.40      nan      nan    2.673 M3.8      nan    nan   1.012     nan                                None
Gaia DR3 5603060883772761600 108.2044005 -33.9067639 19.573  2.371       4.263   1.6316  11.4587    19.50      nan      nan    2.665 M2.6      nan    nan   0.954     nan                                None
Gaia DR3 5591508250680300544 111.7799095 -34.6895545 17.917  2.910       1.983   1.5350  11.4896    18.64      nan      nan    2.675 M3.9      nan    nan   0.994     nan                                None
Gaia DR3 5592452696802088832 111.1809140 -33.3922994 14.816  1.637       0.370   0.9942  11.5324    18.97    30.36     5.36    2.573 K5.6      nan    nan   1.779     nan                            Gaia DR3
Gaia DR3 5592710429207594496 110.1780050 -32.8297929 17.007  2.906       0.215   1.0926  11.7075    19.27      nan      nan    2.703 M3.9      nan    nan   1.803     nan                                None
Gaia DR3 5603270787415564032 108.4031302 -32.8978070 17.611  2.845       3.305   1.7960  11.9007    19.62      nan      nan    2.634 M3.8      nan    nan   1.060     nan                                None
Gaia DR3 5592762548628967680 110.4891944 -32.1910844  8.854 -0.071       0.483   1.7517  11.9680    19.30    18.89     2.86    2.617 B8.9      nan    nan   1.005     nan                            Gaia DR3
Gaia DR3 5591618919100214528 112.0486354 -33.8256535 19.473  3.074       3.158   1.5624  11.9972    18.71      nan      nan    2.596 M4.3      nan    nan   1.030     nan                                None
Gaia DR3 5591191728765323904 109.6228650 -33.2495892 16.704    nan       1.818   0.8128  12.0120    19.32      nan      nan    2.564  nan      nan    nan   1.044     nan                                None
Gaia DR3 5591179977739857920 109.2864269 -33.3532216 16.461  2.280       2.130   0.9303  12.0994    19.37      nan      nan    2.566 M2.2      nan    nan   0.994     nan                                None
Gaia DR3 5604749806656139520 109.5726034 -32.4997920 14.449  0.886       2.578   1.5079  12.1518    19.45    44.66     3.48    2.687 G7.5      nan    nan  21.422     nan                            Gaia DR3
Gaia DR3 5603079820284081792 108.6861467 -33.6592551 20.163  2.703       3.148   1.2613  12.2076    19.45      nan      nan    2.577 M3.5      nan    nan   0.982     nan                                None
Gaia DR3 5592858347883442560 110.6150295 -32.1156944  9.769  0.119       0.359   1.8447  12.2988    19.28    11.31     4.62    2.628 A3.5      nan    nan   0.950     nan                            Gaia DR3
Gaia DR3 5590647333073099776 108.3091008 -34.5603068 16.115  1.969       2.331   1.6657  12.3533    19.37      nan      nan    2.599 M0.6      nan    nan   0.988     nan                                None
Gaia DR3 5592860645683055616 110.4617959 -32.0956982 17.624  2.896       0.531   1.8429  12.3634    19.32      nan      nan    2.652 M3.9      nan    nan   1.001     nan                                None
Gaia DR3 5592839686245415296 110.8134914 -32.3275061 19.577  2.824       1.156   1.6833  12.3874    19.21      nan      nan    2.601 M3.7      nan    nan   0.995     nan                                None
Gaia DR3 5590731823670923136 109.2908058 -35.0972284 16.572  1.128       3.478   1.3805  12.4141    19.09      nan      nan    2.580 K2.2      nan    nan   0.967     nan                                None
Gaia DR3 5592540245416913664 111.9918677 -32.8250356 17.897  2.784       0.126   1.8755  12.4192    18.88      nan      nan    2.635 M3.7      nan    nan   1.022     nan                                None
Gaia DR3 5591563599917988992 112.1051040 -34.0946758 18.564  3.155       0.941   1.6130  12.5705    18.66      nan      nan    2.685 M4.5      nan    nan   0.990     nan                                None
Gaia DR3 5604791862973284480 110.0902255 -32.0321736 16.280  2.306       0.225   1.8914  12.6923    19.41      nan      nan    2.653 M2.3      nan    nan   0.990     nan                                None
Gaia DR3 5592861749497777664 110.5850428 -32.0637029 16.244  2.251       0.131   1.8909  12.7616    19.30      nan      nan    2.621 M2.0      nan    nan   0.996     nan                                None
Gaia DR3 5604742556747843584 109.9791894 -32.4006043 15.181  1.798       1.970   1.5301  12.8326    19.38    21.38     9.30    2.693 K7.7      nan    nan   0.981     nan                            Gaia DR3
Gaia DR3 5592541894690663168 112.0470398 -32.7840105 15.424  2.077       0.286   1.9372  12.8385    18.87    26.96     7.18    2.643 M0.9      nan    nan   1.032     nan                            Gaia DR3
Gaia DR3 5589974358941113856 110.8259858 -35.3882916 12.101  0.762       3.087   1.5620  12.8479    18.72    19.43     0.96    2.692 F9.5      nan    nan   0.874     nan                            Gaia DR3
Gaia DR3 5604784750507564544 109.9641399 -32.1546095 13.786  1.366       1.084   1.7762  12.8518    19.42    23.86     7.07    2.602 K4.4      nan    nan   1.093     nan                            Gaia DR3
Gaia DR3 5592674523280213504 110.9856586 -32.7495535 18.589  3.068       0.385   1.3562  12.8799    19.11      nan      nan    2.575 M4.3      nan    nan   1.060     nan                                None
Gaia DR3 5604778011699119232 110.3158884 -32.0266528  9.325 -0.009       0.190   1.8996  12.9689    19.36    13.51     3.91    2.660 A0.7      nan    nan   1.086     nan                            Gaia DR3
Gaia DR3 5602684442777285760 107.9831938 -34.0056952 17.018  2.816       4.410   1.8159  12.9838    19.53      nan      nan    2.604 M3.7      nan    nan   1.852     nan                                None
Gaia DR3 5592609716515072512 111.6694952 -32.5059392 18.899  3.327       1.122   1.8918  12.9869    18.99      nan      nan    2.614 M4.9      nan    nan   1.012     nan                                None
Gaia DR3 5592851166698244992 110.8779374 -32.1222042 17.386  2.998       1.263   1.8953  12.9888    19.22      nan      nan    2.615 M4.1      nan    nan   1.030     nan                                None
Gaia DR3 5592592021250205824 111.8088267 -32.7068183 20.122  3.155       3.884   1.8308  13.0284    18.93      nan      nan    2.605 M4.5      nan    nan   1.075     nan                                None
Gaia DR3 5592846523828932352 110.9072768 -32.2254083 13.358  1.031       0.259   1.8058  13.0337    19.20    12.23     3.34    2.602 K1.5      nan    nan   0.940     nan                            Gaia DR3
Gaia DR3 5592859374373281792 110.6528893 -32.0073658 19.603  2.673       0.694   1.9573  13.0379    19.29      nan      nan    2.648 M3.4      nan    nan   1.015     nan                                None
Gaia DR3 5590041399089194240 110.5324876 -35.0638686 20.266  2.782       2.550   1.1799  13.0536    18.84      nan      nan    2.566 M3.7      nan    nan   1.041     nan                                None
Gaia DR3 5592849964107356672 110.9800722 -32.0664003 12.825  0.873       0.349   1.9762  13.1249    19.21    15.66     2.69    2.631 G6.3      nan    nan   1.098     nan                            Gaia DR3
Gaia DR3 5592752962264873984 110.2752696 -32.4432294 19.836  2.318       3.922   1.4817  13.1422    19.31      nan      nan    2.700 M2.4      nan    nan   1.071     nan                                None
Gaia DR3 5592868307903011712 110.6609831 -31.9718891 12.521  0.812       0.480   1.9934  13.2423    19.29    21.16     2.37    2.646 G1.3      nan    nan   0.975     nan                            Gaia DR3
Gaia DR3 5592800073765519616 111.1084933 -32.2461666 17.329  2.715       0.611   1.8513  13.2960    19.16      nan      nan    2.602 M3.5      nan    nan   1.062     nan                                None
Gaia DR3 5590081806140309632 110.8246092 -34.5425528 16.713  2.504       0.593   0.8229  13.3488    18.86      nan      nan    2.724 M3.0      nan    nan   1.066     nan                                None
Gaia DR3 5591699905000592768 112.5380834 -33.4910273 13.616  1.111       1.278   2.0163  13.3735    18.66    43.66     5.11    2.632 K2.1      nan    nan   1.020     nan                            Gaia DR3
Gaia DR3 5592453693242782720 111.1338676 -33.3597512 16.538  2.484       0.728   0.9797  13.4086    18.98      nan      nan    2.721 M3.0      nan    nan   0.998     nan                                None
Gaia DR3 5604742522388106496 109.9720956 -32.4117543 15.459  2.099       2.018   1.5197  13.4146    19.38    24.27     9.01    2.701 M1.0      nan    nan   5.314     nan                            Gaia DR3
Gaia DR3 5590532051850776832 108.3934211 -35.2263554 11.774  0.703       2.831   1.9599  13.4343    19.24    21.26     3.99    2.663 F8.4      nan    nan   0.854     nan                            Gaia DR3
Gaia DR3 5591002952066841216 109.4142163 -34.0193632 18.841  2.995       3.045   0.6346  13.4456    19.24      nan      nan    2.729 M4.1      nan    nan   1.005     nan                                None
Gaia DR3 5592860890504137088 110.4130858 -32.0703803 14.185  1.336       0.684   1.8631  13.4663    19.33   -55.55     5.16    2.601 K4.1      nan    nan   0.971     nan                            Gaia DR3
Gaia DR3 5592862436692294016 110.5888378 -32.0045329 16.517  2.359       0.341   1.9497  13.4884    19.30      nan      nan    2.666 M2.6      nan    nan   1.042     nan                                None
Gaia DR3 5592865803946587392 110.7151699 -31.9620528 17.570  2.753       0.901   2.0129  13.5690    19.28      nan      nan    2.656 M3.6      nan    nan   1.027     nan                                None
Gaia DR3 5592864704434954368 110.7468444 -32.0001305 14.637  1.508       0.164   1.9821  13.6283    19.27    22.76     6.03    2.664 K5.3      nan    nan   1.049     nan                            Gaia DR3
Gaia DR3 5604877178200550400 110.3904269 -31.8730916 11.946  0.703       0.453   2.0575  13.6451    19.37    16.52     7.10    2.632 F8.4      nan    nan   0.990     nan                            Gaia DR3
Gaia DR3 5591644349604596864 112.6420651 -34.0293072 13.005  0.957       3.133   2.0524  13.6542    18.55   -12.54     1.29    2.629 G9.2      nan    nan   2.547     nan                            Gaia DR3
Gaia DR3 5592593503019358592 111.9149738 -32.6650062 18.121  3.225       0.604   1.9254  13.6770    18.92      nan      nan    2.673 M4.7      nan    nan   0.990     nan                                None
Gaia DR3 5592859172517133696 110.6485025 -32.0459908  6.795 -0.250       0.557   1.9187  13.6852    19.29      nan      nan    2.603  nan      nan    nan   0.950     nan                                None
Gaia DR3 5592584775644704512 111.5607187 -32.6491300 17.277  2.713       0.518   1.7238  13.7353    19.00      nan      nan    2.586 M3.5      nan    nan   1.047     nan                                None
Gaia DR3 5592786467309312384 110.9449796 -32.4874731 12.086  0.860       0.228   1.5744  13.7514    19.16    19.75     3.75    2.701 G5.6      nan    nan   0.884     nan                            Gaia DR3
Gaia DR3 5604781177094910080 110.2549276 -32.0029185 19.749  2.718       2.235   1.9207  13.7816    19.38      nan      nan    2.676 M3.5      nan    nan   1.013     nan                                None
Gaia DR3 5592502651566288896 111.9793533 -33.0430135 17.586  2.795       0.491   1.7462  13.8138    18.85      nan      nan    2.586 M3.7      nan    nan   1.038     nan                                None
Gaia DR3 5591580985945753344 111.5608798 -34.3214524 19.757  2.960       3.757   1.2183  13.8651    18.74      nan      nan    2.718 M4.0      nan    nan   1.005     nan                                None
Gaia DR3 5589759198257185792 111.2705971 -35.8172445 12.605  0.996       1.856   2.0989  14.0075    18.56    -3.03     6.89    2.651 K0.6      nan    nan   8.090     nan                            Gaia DR3
Gaia DR3 5604889410271447296 110.1921571 -31.8247008 11.638  0.644       1.858   2.0977  14.0167    19.42    15.09     0.90    2.625 F6.1      nan    nan   1.033     nan                            Gaia DR3
Gaia DR3 5603471383866875776 108.3005340 -32.5093618 17.360  2.780       0.339   2.1079  14.0394    19.71      nan      nan    2.627 M3.7      nan    nan   1.006     nan                                None
Gaia DR3 5592389062573489792 111.6438542 -33.6341220 16.056  2.128       0.635   1.2582  14.0976    18.83      nan      nan    2.560 M1.2      nan    nan   0.951     nan                                None
Gaia DR3 5603135032087404288 107.6971823 -33.4765805 17.150  2.637       4.406   2.1053  14.1535    19.67      nan      nan    2.621 M3.4      nan    nan   1.030     nan                                None
Gaia DR3 5592850410783956096 110.9652933 -32.0477224 14.762  1.544       0.384   1.9896  14.1901    19.22    15.00     8.07    2.602 K5.4      nan    nan   1.049     nan                            Gaia DR3
Gaia DR3 5592878654489907712 111.0085794 -31.9106399  9.013  0.070       0.666   2.1312  14.2582    19.23    12.98     2.43    2.653 A2.1      nan    nan   1.323     nan                            Gaia DR3
Gaia DR3 5592827939514357888 111.2240928 -31.9866211 15.411  1.904       0.552   2.1280  14.2912    19.17      nan      nan    2.622 M0.3      nan    nan   1.045     nan                                None
Gaia DR3 5592890302441260672 110.9184819 -31.8808575 16.057  2.387       0.355   2.1359  14.3363    19.25      nan      nan    2.655 M2.7      nan    nan   1.139     nan                                None
Gaia DR3 5602635200974098688 107.7233930 -34.5207037 16.924  2.510       4.174   2.1099  14.3443    19.49      nan      nan    2.661 M3.1      nan    nan   1.076     nan                                None
Gaia DR3 5592852575447289856 110.8139553 -32.0466848  8.241 -0.141       0.464   1.9518  14.3508    19.25      nan      nan    2.595 B5.7      nan    nan   0.981     nan                                None
Gaia DR3 5591191728770203008 109.6234020 -33.2494011 15.692  1.998       2.579   0.8127  14.3607    19.32      nan      nan    2.547 M0.7      nan    nan   1.085     nan                                None
Gaia DR3 5602739899390096896 107.7233684 -33.8346602 19.542  2.856       3.119   2.0334  14.3819    19.61      nan      nan    2.674 M3.8      nan    nan   1.494     nan                                None
Gaia DR3 5592878036014593408 111.0295331 -31.8915283  9.355 -0.026       0.714   2.1551  14.3961    19.23    15.34     3.11    2.652 A0.3      nan    nan   1.184     nan                            Gaia DR3
Gaia DR3 5591300855300593408 112.4547226 -34.9968915 14.366  1.338       0.882   2.1684  14.4383    18.44    17.09     3.37    2.650 K4.2      nan    nan   0.957     nan                            Gaia DR3
Gaia DR3 5592808663701148928 111.3320710 -32.2082948 12.160  0.734       0.645   1.9712  14.4393    19.11    20.15     2.47    2.682 F9.3      nan    nan   0.829     nan                            Gaia DR3
Gaia DR3 5592358207527679872 111.2142229 -33.9242582 16.459  2.394       1.169   0.8661  14.4955    18.88      nan      nan    2.733 M2.7      nan    nan   1.004     nan                                None
Gaia DR3 5591191728770204928 109.6222314 -33.2540698 17.135  2.942       1.949   0.8094  14.5048    19.32      nan      nan    2.546 M4.0      nan    nan   0.975     nan                                None
Gaia DR3 5603145000704927232 107.9825382 -33.2506332 16.801  2.143       4.742   1.9424  14.5269    19.65      nan      nan    2.592 M1.3      nan    nan   1.793     nan                                None
Gaia DR3 5592848108681706752 110.9446343 -32.1173926 13.338  1.045       0.218   1.9181  14.5386    19.21    18.10     4.23    2.590 K1.6      nan    nan   0.977     nan                            Gaia DR3
Gaia DR3 5589883958468025600 110.0128164 -35.9042422 18.423  3.255       1.275   1.9861  14.5477    18.80      nan      nan    2.682 M4.7      nan    nan   0.980     nan                                None
Gaia DR3 5590334002320643968 108.7174089 -35.5019329 17.763  2.942       4.206   1.9803  14.5570    19.13      nan      nan    2.683 M4.0      nan    nan   1.071     nan                                None
Gaia DR3 5592841404232051712 110.8556098 -32.2308565 19.222  2.976       0.705   1.7862  14.5781    19.21      nan      nan    2.580 M4.1      nan    nan   1.045     nan                                None
Gaia DR3 5592845703499906560 110.7611410 -32.1569906 16.521  2.438       0.215   1.8335  14.5789    19.24      nan      nan    2.583 M2.8      nan    nan   1.090     nan                                None
Gaia DR3 5604893189842644992 110.2070560 -31.7329156 16.682  2.469       0.256   2.1896  14.5887    19.43      nan      nan    2.650 M2.9      nan    nan   1.000     nan                                None
Gaia DR3 5592850303400116864 111.0266654 -32.0268832  8.718 -0.001       0.323   2.0270  14.6187    19.21      nan      nan    2.679 A0.8      nan    nan   1.057     nan                                None
Gaia DR3 5592828283111691648 111.2699706 -31.9579052 17.105  2.729       0.267   2.1703  14.7212    19.16      nan      nan    2.661 M3.6      nan    nan   1.088     nan                                None
Gaia DR3 5590727077726556672 109.4051894 -35.2276591 18.255  3.077       4.445   1.4494  14.7336    19.04      nan      nan    2.562 M4.3      nan    nan   1.015     nan                                None
Gaia DR3 5591250032949220608 112.4043569 -35.1797377 19.964  2.931       3.473   2.2284  14.7548    18.42      nan      nan    2.642 M4.0      nan    nan   1.070     nan                                None
Gaia DR3 5592594465092059008 111.8523460 -32.6346631 17.881  2.883       2.196   1.9066  14.8445    18.94      nan      nan    2.694 M3.9      nan    nan   0.991     nan                                None
Gaia DR3 5592863708002601216 110.5822325 -31.9404372 16.458  2.374       0.190   2.0118  14.9175    19.32      nan      nan    2.686 M2.6      nan    nan   1.063     nan                                None
Gaia DR3 5592602917587505280 112.1248445 -32.4264649 17.243  2.752       0.753   2.2166  14.9317    18.91      nan      nan    2.658 M3.6      nan    nan   1.061     nan                                None
Gaia DR3 5602755395636604928 107.4717019 -33.7251404 18.462  2.923       4.459   2.2506  14.9582    19.68      nan      nan    2.648 M3.9      nan    nan   1.001     nan                                None
Gaia DR3 5590624754427883008 108.3782040 -34.7376505 16.966  2.950       3.394   1.6897  14.9756    19.33      nan      nan    2.570 M4.0      nan    nan   1.105     nan                                None
Gaia DR3 5592834360484355584 111.3292172 -31.8983887 14.777  1.634       0.387   2.2456  14.9959    19.16   -47.61     6.26    2.625 K5.6      nan    nan   1.049     nan                            Gaia DR3
Gaia DR3 5590712925815505152 109.9393846 -34.9115188 11.325  0.592       1.942   1.0074  15.0188    18.99    16.92     1.31    2.547 F5.1      nan    nan   0.912     nan                            Gaia DR3
Gaia DR3 5592848452278872832 111.0131226 -32.1589429  8.342 -0.000       1.805   1.8996  15.0236    19.19    19.90     1.82    2.696 A0.8      nan    nan   1.338     nan                            Gaia DR3
Gaia DR3 5603053638167620096 108.5473894 -33.8280472 10.742  0.383       2.374   1.3508  15.0237    19.45    16.15     1.52    2.556 F0.0      nan    nan   1.129     nan                            Gaia DR3
Gaia DR3 5604885527620855296 110.4911224 -31.7017381 16.354  2.357       0.318   2.2369  15.0256    19.37      nan      nan    2.657 M2.5      nan    nan   1.041     nan                                None
Gaia DR3 5604807801589674624 109.2902424 -32.2129898 16.661  2.922       2.921   1.8617  15.0337    19.55      nan      nan    2.699 M3.9      nan    nan   3.012     nan                                None
Gaia DR3 5592838075638030592 110.7859506 -32.3745126 16.342  2.315       0.724   1.6313  15.0355    19.21      nan      nan    2.567 M2.4      nan    nan   0.979     nan                                None
Gaia DR3 5592828111313001472 111.2768588 -31.9734858 11.142  0.538       0.395   2.1587  15.1488    19.16    17.66     1.77    2.604 F3.7      nan    nan   1.045     nan                            Gaia DR3
Gaia DR3 5604836148374774912 109.7179782 -32.0043001 17.017 -0.444       3.161   1.9552  15.1643    19.49      nan      nan    2.694  nan      nan    nan   0.970     nan                                None
Gaia DR3 5592872774673376896 111.1310043 -32.0525305 19.659  3.056       1.110   2.0360  15.1668    19.18      nan      nan    2.688 M4.2      nan    nan   0.997     nan                                None
