Catalog,Type,GaiaDR3,RA,DEC,Gmag,Bp-Rp,Voff(km/s),Sep(deg),3D(pc),Vr(pred),Vr(obs),Vrerr,Plx(mas),SpT,FnuvJ,W1-W3,RUWE,XCrate,RVsrc,PMRApred,PMDecpred,PMRA,PMRAerr,PMDec,PMDecerr
Gaia,DR3,430847964979455744,9.4333045,63.5180038,19.988,1.748,1.641,4.4146,31.0819,-49.1,,,2.864,,,,1.188,,,-6.899,0.583,-6.149,0.405,1.23,0.494
Gaia,DR3,419926275451185408,4.769359,55.2065623,18.856,1.909,2.367,4.5615,31.1072,-48.15,,,2.674,,,,2.772,,,-7.463,-3.93,-6.232,0.431,-3.416,0.446
Gaia,DR3,421729264067119360,6.9550859,56.521944,19.287,2.699,1.365,3.4882,31.4755,-48.57,,,2.594,,,,1.046,,,-6.782,-2.984,-6.198,0.225,-3.449,0.235
Gaia,DR3,418226597979136768,7.8567011,55.205511,19.928,2.55,0.749,4.8984,31.6044,-48.54,,,2.804,,,,1.092,,,-7.124,-3.792,-6.718,0.348,-3.97,0.39
Gaia,DR3,527033890707688192,8.7413371,64.4555535,19.521,2.176,2.081,5.0848,32.6702,-49.02,,,2.801,,,,1.745,,,-6.909,0.97,-6.248,0.398,-0.066,0.503
Gaia,DR3,418193720013579264,9.0257003,55.2364147,19.45,2.734,0.913,5.1324,33.1593,-48.68,,,2.81,,,,1.084,,,-6.864,-3.666,-6.787,0.299,-3.131,0.272
Gaia,DR3,424405647166621696,13.5517487,58.162064,19.409,1.684,1.688,4.9185,33.2308,-49.38,,,2.675,,,,1.394,,,-5.504,-1.679,-5.871,0.383,-0.801,0.381
Gaia,DR3,428396741232185856,4.969605,60.1202803,17.965,0.253,0.948,0.4186,33.5595,-48.59,,,2.518,,,,1.353,,,-6.987,-1.475,-7.139,0.248,-1.955,0.236
Gaia,DR3,430310303785858176,7.8187186,61.778211,19.8,2.895,0.995,2.5755,34.0996,-48.95,,,2.543,,,,1.092,,,-6.466,-0.439,-6.271,0.371,-0.935,0.355
Gaia,DR3,527015443828322560,7.7783522,64.2325903,19.662,2.259,1.267,4.719,34.1744,-48.94,,,2.638,,,,1.194,,,-6.719,0.707,-6.227,0.37,0.203,0.398
Gaia,DR3,427506995814005120,12.499092,62.0494728,17.044,1.739,1.019,4.4955,34.4116,-49.38,,,2.619,,,,8.238,,,-5.627,0.119,-5.162,0.348,-0.198,0.401
Gaia,DR3,527080276354189440,9.6908679,64.4928197,20.11,2.65,2.69,5.3041,35.2578,-49.1,,,2.844,,,,0.987,,,-6.79,1.107,-7.872,0.383,-0.089,0.451
Gaia,DR3,2016072633884682112,357.9567902,62.9946879,19.504,,2.296,4.5034,35.5187,-47.87,,,2.606,,,,0.958,,,-8.641,-1.052,-9.584,0.349,-1.891,0.303
Gaia,DR3,431295534932898176,3.1648555,62.4730376,15.382,1.167,0.869,2.7851,36.2381,-48.47,,,2.532,,,,10.327,,,-7.39,-0.618,-7.474,0.232,-1.074,0.214
Gaia,DR3,522791085796892288,14.6164517,62.0037255,19.153,2.133,0.588,5.3889,36.7841,-49.55,,,2.661,,,,1.641,,,-5.23,0.278,-4.975,0.36,0.486,0.398
Gaia,DR3,426687309895751296,14.559503,61.4358461,20.013,2.315,1.748,5.1953,37.3331,-49.55,,,2.633,,,,1.008,,,-5.188,-0.002,-4.22,0.386,-0.076,0.559
Gaia,DR3,426396175531750528,15.9356552,60.5901758,19.514,1.54,2.042,5.7271,37.4282,-49.65,,,2.834,,,,1.426,,,-5.243,-0.326,-4.531,0.317,0.665,0.35
Gaia,DR3,428029568775854336,8.5430495,58.9063523,19.611,2.355,2.197,2.2223,37.456,-48.93,,,2.511,,,,1.11,,,-6.237,-1.664,-6.964,0.343,-0.756,0.328
Gaia,DR3,424184134236225792,13.871426,56.7384909,17.191,1.242,1.593,5.768,37.7313,-49.32,,,2.694,,,,6.012,,,-5.469,-2.362,-6.303,0.329,-2.013,0.388
Gaia,DR3,420135418885830400,2.9308647,54.2748611,18.858,2.755,0.731,5.559,37.8974,-47.78,,,2.873,,,,1.019,,,-8.438,-4.911,-8.464,0.15,-5.353,0.151
Gaia,DR3,430688909444764800,8.5095326,62.5050805,20.311,2.029,2.752,3.3458,38.6576,-49.02,,,2.529,,,,1.058,,,-6.287,-0.037,-5.03,0.475,0.72,0.679
Gaia,DR3,431337690022762752,3.4258657,63.0741058,19.657,2.884,2.258,3.3492,38.9489,-48.51,,,2.527,,,,1.046,,,-7.323,-0.316,-7.108,0.371,-1.499,0.395
Gaia,DR3,429539851072224640,4.4946684,60.6804974,18.291,1.91,2.289,0.9144,39.2336,-48.56,,,2.484,,,,4.664,,,-6.99,-1.257,-7.064,0.405,-0.061,0.424
Gaia,DR3,421361550440564608,6.3962954,56.3958235,19.15,2.632,0.885,3.5124,39.3625,-48.49,,,2.528,,,,1.416,,,-6.725,-3.02,-7.128,0.267,-3.266,0.274
Gaia,DR3,420524852159972096,3.6145237,54.4358414,19.412,2.43,1.628,5.3531,39.8651,-47.89,,,2.61,,,,1.82,,,-7.527,-4.315,-8.378,0.462,-4.037,0.468
Gaia,DR3,422283422231402112,2.9501335,56.3245357,20.325,2.392,1.066,3.5408,39.9263,-48.04,,,3.03,,,,1.067,,,-8.895,-4.081,-8.605,0.463,-3.466,0.557
